Date,Open,High,Low,Close,Adj Close,Volume
2014-02-03,208.539993,209.990005,203.279999,205.529999,205.529999,120400
2014-02-04,205.770004,208.880005,204.000000,206.270004,206.270004,66600
2014-02-05,205.649994,205.940002,202.779999,204.410004,204.410004,68300
2014-02-06,205.000000,206.179993,203.509995,203.809998,203.809998,59500
2014-02-07,205.089996,208.720001,204.929993,208.229996,208.229996,68400
2014-02-10,207.309998,208.899994,206.229996,208.520004,208.520004,62600
2014-02-11,209.550003,216.029999,208.529999,215.199997,215.199997,56900
2014-02-12,215.300003,220.660004,214.820007,220.360001,220.360001,100300
2014-02-13,220.279999,225.750000,219.500000,225.589996,225.589996,107500
2014-02-14,225.850006,226.860001,221.559998,225.190002,225.190002,69300
2014-02-18,225.440002,227.369995,222.610001,225.779999,225.779999,52300
2014-02-19,225.000000,226.839996,223.339996,225.089996,225.089996,42300
2014-02-20,225.990005,229.570007,224.520004,228.479996,228.479996,39100
2014-02-21,228.880005,229.080002,225.979996,229.070007,229.070007,48300
2014-02-24,230.000000,234.529999,227.559998,232.750000,232.750000,56500
2014-02-25,232.710007,242.449997,230.429993,235.179993,235.179993,204500
2014-02-26,227.250000,238.339996,225.000000,237.110001,237.110001,186400
2014-02-27,235.880005,237.250000,230.940002,233.610001,233.610001,63600
2014-02-28,234.500000,237.690002,232.460007,236.750000,236.750000,58500
2014-03-03,233.199997,239.600006,228.139999,235.229996,235.229996,120700
2014-03-04,235.500000,245.880005,235.500000,243.529999,243.529999,178600
2014-03-05,242.380005,246.190002,240.500000,243.940002,243.940002,61600
2014-03-06,245.500000,247.130005,242.880005,245.009995,245.009995,76200
2014-03-07,246.080002,246.080002,240.039993,240.869995,240.869995,183100
2014-03-10,239.740005,246.300003,239.369995,242.800003,242.800003,79800
2014-03-11,243.690002,245.179993,238.369995,239.389999,239.389999,48400
2014-03-12,237.250000,243.520004,235.570007,241.240005,241.240005,46800
2014-03-13,242.240005,242.839996,238.240005,239.250000,239.250000,39400
2014-03-14,238.600006,244.600006,237.350006,242.630005,242.630005,45900
2014-03-17,244.080002,246.000000,242.889999,244.729996,244.729996,39500
2014-03-18,244.639999,245.460007,243.789993,245.070007,245.070007,37300
2014-03-19,245.070007,245.070007,236.470001,238.610001,238.610001,96900
2014-03-20,237.899994,242.080002,235.389999,241.720001,241.720001,46000
2014-03-21,244.000000,249.809998,242.059998,249.809998,249.809998,119300
2014-03-24,249.610001,249.800003,245.169998,245.940002,245.940002,82800
2014-03-25,247.529999,248.259995,244.000000,244.929993,244.929993,39700
2014-03-26,245.839996,247.500000,241.399994,242.710007,242.710007,71900
2014-03-27,243.220001,247.520004,241.110001,244.330002,244.330002,54800
2014-03-28,244.660004,249.000000,242.360001,242.399994,242.399994,38800
2014-03-31,243.169998,247.470001,242.000000,244.729996,244.729996,72000
2014-04-01,245.720001,248.000000,242.350006,244.199997,244.199997,64600
2014-04-02,244.000000,246.979996,242.789993,244.259995,244.259995,41400
2014-04-03,245.229996,246.979996,240.000000,241.850006,241.850006,53000
2014-04-04,243.649994,243.649994,232.839996,235.619995,235.619995,103800
2014-04-07,235.000000,239.289993,234.160004,236.550003,236.550003,70600
2014-04-08,236.619995,238.500000,236.179993,237.070007,237.070007,46600
2014-04-09,237.130005,240.740005,236.610001,239.880005,239.880005,36800
2014-04-10,240.169998,243.000000,236.729996,236.729996,236.729996,79600
2014-04-11,235.000000,237.389999,230.740005,234.399994,234.399994,70300
2014-04-14,236.199997,238.220001,232.259995,234.679993,234.679993,33100
2014-04-15,235.220001,235.309998,227.960007,233.639999,233.639999,43700
2014-04-16,235.649994,236.830002,233.539993,235.550003,235.550003,23600
2014-04-17,235.500000,235.559998,231.210007,233.880005,233.880005,43700
2014-04-21,234.149994,235.600006,231.550003,234.300003,234.300003,27000
2014-04-22,234.779999,246.419998,234.009995,244.539993,244.539993,89800
2014-04-23,244.679993,247.539993,237.080002,237.899994,237.899994,87400
2014-04-24,240.869995,242.960007,237.910004,238.630005,238.630005,31200
2014-04-25,237.710007,237.710007,231.520004,234.339996,234.339996,53300
2014-04-28,235.770004,237.960007,230.050003,234.259995,234.259995,51200
2014-04-29,235.000000,239.710007,234.529999,238.020004,238.020004,60000
2014-04-30,236.899994,246.039993,236.389999,246.039993,246.039993,86800
2014-05-01,235.389999,237.000000,220.550003,235.139999,235.139999,229700
2014-05-02,236.199997,241.970001,235.039993,240.309998,240.309998,67900
2014-05-05,239.419998,240.809998,238.119995,239.240005,239.240005,48400
2014-05-06,238.679993,239.850006,232.949997,233.300003,233.300003,77200
2014-05-07,234.080002,235.929993,231.589996,234.880005,234.880005,91800
2014-05-08,233.529999,237.789993,230.080002,231.470001,231.470001,84500
2014-05-09,230.000000,230.940002,222.000000,223.250000,223.250000,109400
2014-05-12,224.009995,234.220001,224.009995,233.429993,233.429993,78600
2014-05-13,233.389999,233.389999,227.190002,227.639999,227.639999,48200
2014-05-14,227.000000,227.000000,220.520004,220.539993,220.539993,63300
2014-05-15,220.000000,220.210007,215.699997,219.660004,219.660004,99800
2014-05-16,219.660004,225.119995,219.660004,225.110001,225.110001,45800
2014-05-19,223.179993,228.789993,222.960007,228.470001,228.470001,78900
2014-05-20,227.779999,227.779999,221.089996,223.789993,223.789993,129900
2014-05-21,225.570007,225.830002,220.000000,220.350006,220.350006,70200
2014-05-22,220.779999,224.000000,219.110001,222.169998,222.169998,66300
2014-05-23,222.339996,222.720001,219.740005,221.960007,221.960007,42500
2014-05-27,222.119995,223.979996,219.000000,221.779999,221.779999,51900
2014-05-28,220.850006,222.399994,218.000000,218.899994,218.899994,62500
2014-05-29,218.860001,220.050003,217.809998,218.949997,218.949997,40400
2014-05-30,219.570007,219.759995,213.589996,214.410004,214.410004,94200
2014-06-02,214.339996,218.429993,214.339996,218.330002,218.330002,89100
2014-06-03,217.839996,217.839996,212.610001,214.830002,214.830002,51800
2014-06-04,213.699997,214.240005,212.119995,212.429993,212.429993,67200
2014-06-05,212.500000,214.520004,208.820007,213.339996,213.339996,61100
2014-06-06,214.750000,216.000000,213.199997,215.240005,215.240005,64200
2014-06-09,214.660004,216.270004,212.720001,215.029999,215.029999,55900
2014-06-10,215.000000,216.199997,212.759995,214.130005,214.130005,47000
2014-06-11,213.000000,213.990005,211.800003,212.070007,212.070007,66400
2014-06-12,216.270004,218.610001,215.289993,217.470001,217.470001,106000
2014-06-13,218.759995,220.100006,217.000000,219.110001,219.110001,55000
2014-06-16,219.479996,221.660004,215.880005,220.940002,220.940002,71500
2014-06-17,221.000000,224.000000,219.589996,222.490005,222.490005,55200
2014-06-18,222.000000,224.000000,221.100006,224.000000,224.000000,32300
2014-06-19,224.169998,227.089996,223.779999,226.229996,226.229996,57400
2014-06-20,226.000000,226.750000,224.610001,226.169998,226.169998,80400
2014-06-23,226.520004,226.669998,221.889999,222.360001,222.360001,49300
2014-06-24,222.000000,222.630005,218.660004,219.649994,219.649994,44300
2014-06-25,218.270004,223.770004,218.039993,223.300003,223.300003,48600
2014-06-26,222.750000,222.750000,220.000000,222.160004,222.160004,31300
2014-06-27,220.410004,225.000000,220.410004,222.330002,222.330002,46500
2014-06-30,221.490005,224.000000,220.619995,223.520004,223.520004,56200
2014-07-01,223.389999,229.949997,223.389999,228.679993,228.679993,77200
2014-07-02,228.770004,229.710007,227.039993,228.919998,228.919998,47700
2014-07-03,228.800003,233.929993,228.800003,232.300003,232.300003,48200
2014-07-07,229.960007,233.500000,229.960007,231.759995,231.759995,56900
2014-07-08,230.710007,231.529999,228.279999,230.369995,230.369995,52500
2014-07-09,231.710007,231.990005,229.369995,230.970001,230.970001,35900
2014-07-10,226.559998,227.399994,225.350006,226.320007,226.320007,49600
2014-07-11,225.509995,227.039993,224.020004,226.690002,226.690002,26500
2014-07-14,227.009995,231.289993,226.699997,229.179993,229.179993,41000
2014-07-15,230.130005,230.289993,225.610001,226.369995,226.369995,49100
2014-07-16,227.460007,227.589996,223.750000,225.119995,225.119995,31900
2014-07-17,223.660004,223.990005,219.000000,219.500000,219.500000,39300
2014-07-18,219.119995,223.809998,219.119995,223.649994,223.649994,37100
2014-07-21,222.259995,222.809998,219.839996,221.679993,221.679993,27000
2014-07-22,221.690002,223.470001,220.229996,220.850006,220.850006,27900
2014-07-23,220.619995,222.750000,220.009995,222.070007,222.070007,24900
2014-07-24,222.559998,223.000000,220.009995,222.350006,222.350006,27100
2014-07-25,221.009995,221.710007,216.960007,219.240005,219.240005,32400
2014-07-28,220.139999,220.320007,216.100006,217.529999,217.529999,36200
2014-07-29,218.250000,219.160004,216.320007,217.800003,217.800003,29400
2014-07-30,218.899994,225.210007,217.100006,224.809998,224.809998,69900
2014-07-31,220.309998,225.880005,218.009995,220.399994,220.399994,88100
2014-08-01,220.059998,221.429993,216.350006,217.750000,217.750000,51000
2014-08-04,218.009995,222.169998,215.600006,221.679993,221.679993,39200
2014-08-05,220.880005,223.750000,219.729996,222.009995,222.009995,37200
2014-08-06,221.250000,225.460007,221.250000,224.630005,224.630005,36100
2014-08-07,225.460007,230.000000,222.899994,230.000000,230.000000,64200
2014-08-08,230.000000,232.830002,228.000000,232.330002,232.330002,52600
2014-08-11,233.000000,233.449997,230.240005,230.860001,230.860001,43800
2014-08-12,230.000000,230.000000,226.059998,228.190002,228.190002,34700
2014-08-13,229.759995,229.759995,226.259995,228.830002,228.830002,40200
2014-08-14,229.960007,230.000000,227.380005,228.050003,228.050003,26000
2014-08-15,230.220001,230.220001,225.199997,228.830002,228.830002,71900
2014-08-18,230.000000,233.179993,227.869995,232.610001,232.610001,44700
2014-08-19,232.699997,233.500000,228.100006,229.860001,229.860001,47000
2014-08-20,227.929993,227.929993,225.800003,226.990005,226.990005,23900
