"","Country","Project.name","Subtype.of.PPI","Project.status","Subsector","Location4.1","ContractPeriod","InvestmentYear","TotalInvestment","CapacityType","Capacity","lon","lat"
"154","China","Henan Jiaozuo Wastewater Treatment Plant (Phase two)","BOT","Active","Treatment plant","Jiaozuo City","26",2006,"23.84","Cubic meters per day (in thousands)","150",113.241823,35.215892
"155","China","Henan Shangqiu Wastewater Treatment Plant (Phase one)","ROT","Active","Treatment plant","Shangqiu City","25",2006,"11.29","Cubic meters per day (in thousands)","80",115.656339,34.414961
"156","China","Ji'an Luozishan Wastewater Treatment Plant","BOT","Active","Treatment plant","Ji'an City","25",2006,NA,"Cubic meters per day (in thousands)","80",114.964696,27.087637
"157","China","Jilin Siping City Wastewater Treatment Plant","ROT","Active","Treatment plant","Siping City","30",2006,"11.29","Cubic meters per day (in thousands)","90",124.350398,43.166419
"158","China","Jinzhou City Hongguang Wastewater Treatment Plant","ROT","Active","Treatment plant","Jinzhou City","25",2006,"16.3","Cubic meters per day (in thousands)","100",121.1268459,41.095685
"159","China","Langfang City Water Treatment Project","BROT","Active","Treatment plant","Langfang City","25",2006,"18.9","Cubic meters per day (in thousands)","121",116.683752,39.538047
"160","China","Liaoyang City Recycled Water Supply","BOT","Active","Treatment plant","Liaoyang City","30",2006,"9.7","Cubic meters per day (in thousands)","30",123.236944,41.267244
"161","China","Linyi Nanfang New District Wastewater Treatment Plant","BOT","Active","Treatment plant","Linyi City","25",2006,NA,"Cubic meters per day (in thousands)","80",118.356414,35.104673
"162","China","Liuzhou Water Services","Lease","Active","Treatment plant","Liuzhou City","30",2006,"7.53","Cubic meters per day (in thousands)","455",109.428608,24.326292
"163","China","Ning Jin County Waste Water Plant","BOT","Active","Treatment plant","Ning Jin County","25",2006,"4.2","Cubic meters per day (in thousands)","30",116.800306,37.652189
"164","China","Pan'an Wastewater Treatment Plant","BOT","Active","Treatment plant","Pan'an County","30",2006,"3.44","Cubic meters per day (in thousands)","15",120.450186,29.054045
"165","China","Shandong Linyi Nanfang New District Wastewater Treatment Plant","BOT","Active","Treatment plant","Linyi City","25",2006,NA,"Cubic meters per day (in thousands)","80",118.356414,35.104673
"166","China","Shandong Wendeng Dashuipo Town Water Plant ","BOT","Active","Treatment plant","Dashuipo Town","50",2006,"1.51","Cubic meters per day (in thousands)","10",122.255334,37.185925
"167","China","Suzhou Wastewater Treatment Facility","BOT","Active","Treatment plant","Suzhou City","27",2006,"62.7","Cubic meters per day (in thousands)","150",120.585289,31.298974
"168","China","Suzhou Wastewater Treatment Plant","BROT","Active","Treatment plant","Suzhou City","28",2006,"10.04","Cubic meters per day (in thousands)","80",120.585289,31.298974
"169","China","Tianchang City Water Plant","BOT","Active","Treatment plant","Tianchang City","30",2006,"10.79","Cubic meters per day (in thousands)","100",119.004816,32.667571
"170","China","Tianjin Muncipal Water Treatment Plant","BOT","Active","Treatment plant","Wuqing District","20",2006,"2","Cubic meters per day (in thousands)","20",117.044387,39.384119
"171","China","Tongliao Wastewater Treatment Plant","BOT","Active","Treatment plant","Tongliao City","25",2006,"16.31","Cubic meters per day (in thousands)","100",122.243444,43.65289
"172","China","Wuhan City Waste Water Treatment Facility","ROT","Active","Treatment plant","Wuhan City","29",2006,NA,"Cubic meters per day (in thousands)",NA,114.305539,30.592849
